[2025-06-20 15:26:13] System: CPU=23.8%, Mem=47.2%, Net=107MB Sent
[2025-06-20 15:26:16] System: CPU=48.7%, Mem=47.1%, Net=107MB Sent
[2025-06-20 15:26:19] System: CPU=45.8%, Mem=47.1%, Net=107MB Sent
[2025-06-20 15:26:22] System: CPU=52.3%, Mem=47.1%, Net=107MB Sent
[2025-06-20 15:26:25] System: CPU=45.4%, Mem=47.1%, Net=108MB Sent
[2025-06-20 15:26:28] System: CPU=29.9%, Mem=47.1%, Net=108MB Sent
[2025-06-20 15:26:31] System: CPU=39.1%, Mem=47.1%, Net=108MB Sent
[2025-06-20 15:26:34] System: CPU=41.9%, Mem=47.1%, Net=108MB Sent
[2025-06-20 15:26:37] System: CPU=44.6%, Mem=47.1%, Net=108MB Sent
[2025-06-20 15:26:40] System: CPU=45.0%, Mem=47.1%, Net=108MB Sent
[2025-06-20 15:26:43] System: CPU=50.2%, Mem=47.1%, Net=108MB Sent
[2025-06-20 15:26:46] System: CPU=42.5%, Mem=47.1%, Net=108MB Sent
[2025-06-20 15:26:49] System: CPU=54.6%, Mem=47.0%, Net=108MB Sent
[2025-06-20 15:26:52] System: CPU=30.4%, Mem=47.2%, Net=108MB Sent
[2025-06-20 15:26:55] System: CPU=60.6%, Mem=47.4%, Net=108MB Sent
[2025-06-20 15:26:58] System: CPU=83.1%, Mem=47.5%, Net=108MB Sent
[2025-06-20 15:27:01] System: CPU=100.0%, Mem=47.5%, Net=108MB Sent
[2025-06-20 15:27:03] backgroundTaskHost.exe | PID: 13148 | Parent: DESKTOP-3AJNAKS | Path: Unknown | Threat: Low
[2025-06-20 15:27:04] backgroundTaskHost.exe | PID: 13148 | Parent: DESKTOP-3AJNAKS | Path: Unknown | Threat: Low
[2025-06-20 15:27:05] System: CPU=100.0%, Mem=47.8%, Net=108MB Sent
[2025-06-20 15:27:07] System: CPU=99.6%, Mem=47.2%, Net=108MB Sent
